horodatage;code_http;duree_ms;serveur
2026-09-21T10:46:17.122;200;19;web1
2026-09-21T10:46:17.439;200;21;web2
2026-09-21T10:46:17.751;200;22;web1
2026-09-21T10:46:18.063;200;18;web2
2026-09-21T10:46:18.362;200;18;web1
2026-09-21T10:46:18.692;200;19;web2
2026-09-21T10:46:19.023;200;21;web1
2026-09-21T10:46:19.341;200;20;web2
2026-09-21T10:46:19.644;200;17;web1
2026-09-21T10:46:19.955;200;18;web2
2026-09-21T10:46:20.242;200;14;web1
2026-09-21T10:46:20.529;200;9;web2
2026-09-21T10:46:20.818;200;8;web1
2026-09-21T10:46:21.133;200;17;web2
2026-09-21T10:46:21.437;200;19;web1
2026-09-21T10:46:21.741;200;18;web2
2026-09-21T10:46:22.044;200;21;web1
2026-09-21T10:46:22.345;200;14;web2
2026-09-21T10:46:22.639;200;11;web1
2026-09-21T10:46:22.907;200;5;web2
2026-09-21T10:46:23.198;200;19;web1
2026-09-21T10:46:23.512;200;18;web2
2026-09-21T10:46:23.820;200;19;web1
2026-09-21T10:46:24.122;200;19;web2
2026-09-21T10:46:24.431;200;19;web1
2026-09-21T10:46:24.738;200;17;web2
2026-09-21T10:46:25.033;200;10;web1
2026-09-21T10:46:25.341;200;21;web2
2026-09-21T10:46:25.635;200;16;web1
2026-09-21T10:46:25.935;200;17;web2
2026-09-21T10:46:26.231;200;19;web1
2026-09-21T10:46:26.526;200;17;web2
2026-09-21T10:46:26.838;200;17;web1
2026-09-21T10:46:27.143;200;18;web2
2026-09-21T10:46:27.456;200;17;web1
2026-09-21T10:46:27.759;200;18;web2
2026-09-21T10:46:28.076;200;18;web1
2026-09-21T10:46:28.377;200;20;web2
2026-09-21T10:46:28.696;200;24;web1
2026-09-21T10:46:28.976;200;5;web2
2026-09-21T10:46:29.264;200;12;web1
2026-09-21T10:46:29.559;200;18;web2
2026-09-21T10:46:29.852;200;19;web1
2026-09-21T10:46:30.170;200;20;web2
2026-09-21T10:46:30.479;200;21;web1
2026-09-21T10:46:30.781;200;17;web2
2026-09-21T10:46:31.093;200;22;web1
2026-09-21T10:46:31.408;200;18;web2
2026-09-21T10:46:31.692;200;9;web1
2026-09-21T10:46:31.973;200;7;web2
2026-09-21T10:46:32.280;200;18;web1
2026-09-21T10:46:32.586;200;21;web2
2026-09-21T10:46:32.866;200;6;web1
2026-09-21T10:46:33.177;200;21;web2
2026-09-21T10:46:33.475;200;17;web1
2026-09-21T10:46:33.768;200;12;web2
2026-09-21T10:46:34.051;200;7;web1
2026-09-21T10:46:34.347;200;16;web2
2026-09-21T10:46:34.638;200;14;web1
2026-09-21T10:46:34.950;200;19;web2
2026-09-21T10:46:35.265;200;17;web1
2026-09-21T10:46:35.562;200;16;web2
2026-09-21T10:46:35.850;200;10;web1
2026-09-21T10:46:36.162;200;18;web2
2026-09-21T10:46:36.460;200;14;web1
2026-09-21T10:46:36.747;200;12;web2
2026-09-21T10:46:37.062;200;18;web1
2026-09-21T10:46:37.376;200;21;web2
2026-09-21T10:46:37.682;200;18;web1
2026-09-21T10:46:37.970;200;13;web2
2026-09-21T10:46:38.278;200;15;web1
2026-09-21T10:46:38.580;200;21;web2
2026-09-21T10:46:38.894;200;21;web1
2026-09-21T10:46:39.203;200;16;web2
2026-09-21T10:46:39.507;200;17;web1
2026-09-21T10:46:39.998;200;195;web2
2026-09-21T10:46:40.290;200;16;web1
2026-09-21T10:46:40.588;200;16;web2
2026-09-21T10:46:40.888;200;15;web1
2026-09-21T10:46:43.158;000;2000;?
2026-09-21T10:46:45.429;000;2000;?
2026-09-21T10:46:47.690;000;2000;?
2026-09-21T10:46:49.955;000;2000;?
2026-09-21T10:46:52.207;000;2000;?
2026-09-21T10:46:54.451;000;2000;?
2026-09-21T10:46:56.687;000;2000;?
2026-09-21T10:46:58.941;000;2000;?
2026-09-21T10:47:01.201;000;2000;?
2026-09-21T10:47:03.474;000;2000;?
2026-09-21T10:47:05.739;000;2000;?
2026-09-21T10:47:07.985;000;2000;?
2026-09-21T10:47:10.233;000;2000;?
2026-09-21T10:47:12.468;000;2000;?
2026-09-21T10:47:14.710;000;2000;?
