horodatage;code_http;duree_ms;serveur
2026-09-21T16:27:26.269;200;15;web1
2026-09-21T16:27:26.580;200;17;web2
2026-09-21T16:27:26.904;200;20;web1
2026-09-21T16:27:27.195;200;9;web2
2026-09-21T16:27:27.494;200;17;web1
2026-09-21T16:27:27.797;200;17;web2
2026-09-21T16:27:28.083;200;8;web1
2026-09-21T16:27:28.408;200;19;web2
2026-09-21T16:27:28.725;200;23;web1
2026-09-21T16:27:29.040;200;20;web2
2026-09-21T16:27:29.351;200;19;web1
2026-09-21T16:27:29.644;200;16;web2
2026-09-21T16:27:29.938;200;19;web1
2026-09-21T16:27:30.249;200;17;web2
2026-09-21T16:27:30.568;200;19;web1
2026-09-21T16:27:30.880;200;22;web2
2026-09-21T16:27:31.202;200;20;web1
2026-09-21T16:27:31.512;200;18;web2
2026-09-21T16:27:31.817;200;19;web1
2026-09-21T16:27:33.124;200;1022;web1
2026-09-21T16:27:33.432;200;19;web2
2026-09-21T16:27:33.732;200;15;web1
2026-09-21T16:27:34.034;200;15;web2
2026-09-21T16:27:34.346;200;18;web1
2026-09-21T16:27:34.645;200;14;web2
2026-09-21T16:27:34.949;200;21;web1
2026-09-21T16:27:35.240;200;13;web2
2026-09-21T16:27:35.548;200;16;web1
2026-09-21T16:27:35.840;200;13;web2
2026-09-21T16:27:36.140;200;14;web1
2026-09-21T16:27:36.456;200;17;web2
2026-09-21T16:27:36.766;200;17;web1
2026-09-21T16:27:37.072;200;16;web2
2026-09-21T16:27:37.368;200;14;web1
2026-09-21T16:27:37.685;200;18;web2
2026-09-21T16:27:37.992;200;19;web1
2026-09-21T16:27:38.304;200;16;web2
2026-09-21T16:27:38.635;200;17;web1
2026-09-21T16:27:38.938;200;16;web2
2026-09-21T16:27:39.245;200;15;web1
2026-09-21T16:27:39.529;200;10;web2
2026-09-21T16:27:39.830;200;16;web1
2026-09-21T16:27:40.136;200;17;web2
2026-09-21T16:27:40.455;200;19;web1
2026-09-21T16:27:40.768;200;19;web2
2026-09-21T16:27:41.062;200;14;web1
2026-09-21T16:27:41.376;200;17;web2
2026-09-21T16:27:41.675;200;20;web1
2026-09-21T16:27:41.983;200;16;web2
2026-09-21T16:27:42.278;200;14;web1
2026-09-21T16:27:42.576;200;16;web2
2026-09-21T16:27:42.868;200;15;web1
2026-09-21T16:27:43.152;200;8;web2
2026-09-21T16:27:43.471;200;17;web1
2026-09-21T16:27:43.755;200;7;web2
2026-09-21T16:27:44.057;200;18;web1
2026-09-21T16:27:44.362;200;16;web2
2026-09-21T16:27:44.664;200;14;web1
2026-09-21T16:27:44.987;200;16;web2
2026-09-21T16:27:45.294;200;16;web1
2026-09-21T16:27:45.594;200;17;web2
2026-09-21T16:27:45.897;200;21;web1
2026-09-21T16:27:46.212;200;16;web2
2026-09-21T16:27:46.507;200;13;web1
2026-09-21T16:27:46.816;200;15;web2
2026-09-21T16:27:47.128;200;19;web1
2026-09-21T16:27:47.437;200;17;web2
2026-09-21T16:27:47.740;200;15;web1
2026-09-21T16:27:48.026;200;7;web2
2026-09-21T16:27:48.342;200;21;web1
2026-09-21T16:27:48.632;200;11;web2
2026-09-21T16:27:48.916;200;8;web1
2026-09-21T16:27:49.211;200;18;web2
2026-09-21T16:27:49.520;200;17;web1
2026-09-21T16:27:49.822;200;17;web2
2026-09-21T16:27:50.111;200;13;web1
2026-09-21T16:27:50.349;200;3;web2
2026-09-21T16:27:50.583;200;3;web1
2026-09-21T16:27:50.819;200;5;web2
2026-09-21T16:27:51.060;200;8;web1
2026-09-21T16:27:51.301;200;8;web2
2026-09-21T16:27:51.539;200;7;web1
2026-09-21T16:27:51.777;200;7;web2
2026-09-21T16:27:52.011;200;6;web1
2026-09-21T16:27:52.288;200;7;web2
2026-09-21T16:27:52.594;200;18;web1
2026-09-21T16:27:52.905;200;19;web2
2026-09-21T16:27:53.219;200;22;web1
2026-09-21T16:27:53.468;200;7;web2
2026-09-21T16:27:53.758;200;14;web1
2026-09-21T16:27:53.999;200;7;web2
2026-09-21T16:27:54.278;200;9;web1
2026-09-21T16:27:54.516;200;7;web2
2026-09-21T16:27:54.834;200;30;web1
2026-09-21T16:27:55.152;200;23;web2
2026-09-21T16:27:55.452;200;16;web1
2026-09-21T16:27:55.748;200;15;web2
2026-09-21T16:27:56.059;200;18;web1
2026-09-21T16:27:56.346;200;9;web2
2026-09-21T16:27:56.643;200;13;web1
2026-09-21T16:27:57.116;200;184;web2
2026-09-21T16:27:57.428;200;20;web1
2026-09-21T16:27:57.752;200;17;web2
2026-09-21T16:27:58.063;200;24;web1
2026-09-21T16:27:58.356;200;14;web2
2026-09-21T16:27:58.661;200;16;web1
2026-09-21T16:27:58.971;200;16;web2
