horodatage;code_http;duree_ms;serveur
2026-09-21T10:41:29.614;200;10;web1
2026-09-21T10:41:29.906;200;8;web2
2026-09-21T10:41:30.207;200;17;web1
2026-09-21T10:41:30.514;200;19;web2
2026-09-21T10:41:30.803;200;12;web1
2026-09-21T10:41:31.116;200;18;web2
2026-09-21T10:41:31.398;200;13;web1
2026-09-21T10:41:31.686;200;15;web2
2026-09-21T10:41:31.944;200;6;web1
2026-09-21T10:41:32.253;200;16;web2
2026-09-21T10:41:32.559;200;18;web1
2026-09-21T10:41:32.858;200;17;web2
2026-09-21T10:41:33.166;200;17;web1
2026-09-21T10:41:33.456;200;13;web2
2026-09-21T10:41:33.755;200;22;web1
2026-09-21T10:41:34.079;200;19;web2
2026-09-21T10:41:34.396;200;17;web1
2026-09-21T10:41:34.696;200;25;web2
2026-09-21T10:41:35.006;200;20;web1
2026-09-21T10:41:35.320;200;21;web2
2026-09-21T10:41:35.595;200;7;web1
2026-09-21T10:41:35.906;200;17;web2
2026-09-21T10:41:36.212;200;17;web1
2026-09-21T10:41:36.469;200;8;web2
2026-09-21T10:41:36.762;200;16;web1
2026-09-21T10:41:37.055;200;16;web2
2026-09-21T10:41:37.356;200;20;web1
2026-09-21T10:41:37.660;200;19;web2
2026-09-21T10:41:37.979;200;21;web1
2026-09-21T10:41:38.268;200;13;web2
2026-09-21T10:41:38.587;200;18;web1
2026-09-21T10:41:38.882;200;18;web2
2026-09-21T10:41:39.182;200;18;web1
2026-09-21T10:41:39.473;200;13;web2
2026-09-21T10:41:39.790;200;25;web1
2026-09-21T10:41:40.038;200;7;web2
2026-09-21T10:41:40.347;200;22;web1
2026-09-21T10:41:40.659;200;20;web2
2026-09-21T10:41:40.952;200;16;web1
2026-09-21T10:41:41.259;200;15;web2
2026-09-21T10:41:41.558;200;17;web1
2026-09-21T10:41:41.866;200;17;web2
2026-09-21T10:41:42.152;200;15;web1
2026-09-21T10:41:42.462;200;20;web2
2026-09-21T10:41:42.780;200;18;web1
2026-09-21T10:41:43.083;200;19;web2
2026-09-21T10:41:43.385;200;16;web1
2026-09-21T10:41:43.670;200;12;web2
2026-09-21T10:41:43.966;200;16;web1
2026-09-21T10:41:44.250;200;8;web2
2026-09-21T10:41:44.543;200;14;web1
2026-09-21T10:41:44.862;200;22;web2
2026-09-21T10:41:45.158;200;16;web1
2026-09-21T10:41:45.474;200;20;web2
2026-09-21T10:41:45.793;200;23;web1
2026-09-21T10:41:46.113;200;19;web2
2026-09-21T10:41:46.402;200;15;web1
2026-09-21T10:41:46.711;200;16;web2
2026-09-21T10:41:47.022;200;19;web1
2026-09-21T10:41:47.331;200;18;web2
2026-09-21T10:41:47.636;200;18;web1
2026-09-21T10:41:47.947;200;17;web2
2026-09-21T10:41:48.247;200;16;web1
2026-09-21T10:41:48.563;200;19;web2
2026-09-21T10:41:48.875;200;17;web1
2026-09-21T10:41:49.184;200;17;web2
2026-09-21T10:41:49.487;200;14;web1
2026-09-21T10:41:49.786;200;16;web2
2026-09-21T10:41:50.096;200;22;web1
2026-09-21T10:41:50.402;200;22;web2
2026-09-21T10:41:50.705;200;18;web2
2026-09-21T10:41:50.989;200;15;web2
2026-09-21T10:41:51.298;200;22;web2
2026-09-21T10:41:51.598;200;17;web2
2026-09-21T10:41:51.891;200;18;web2
2026-09-21T10:41:52.209;200;17;web2
2026-09-21T10:41:52.508;200;18;web2
2026-09-21T10:41:52.816;200;17;web2
2026-09-21T10:41:53.122;200;15;web2
2026-09-21T10:41:53.417;200;18;web2
2026-09-21T10:41:53.718;200;14;web2
2026-09-21T10:41:54.022;200;17;web2
2026-09-21T10:41:54.313;200;16;web2
2026-09-21T10:41:54.631;200;16;web2
2026-09-21T10:41:54.928;200;15;web2
2026-09-21T10:41:55.237;200;16;web2
2026-09-21T10:41:55.523;200;10;web2
2026-09-21T10:41:55.828;200;22;web2
2026-09-21T10:41:56.139;200;20;web2
2026-09-21T10:41:56.448;200;24;web2
2026-09-21T10:41:56.748;200;18;web2
2026-09-21T10:41:57.056;200;19;web2
2026-09-21T10:41:57.338;200;14;web2
2026-09-21T10:41:57.655;200;18;web2
2026-09-21T10:41:57.890;200;5;web2
2026-09-21T10:41:58.186;200;17;web2
2026-09-21T10:41:58.492;200;18;web2
2026-09-21T10:41:58.794;200;17;web2
2026-09-21T10:41:59.096;200;17;web2
2026-09-21T10:41:59.373;200;6;web2
2026-09-21T10:41:59.667;200;16;web2
2026-09-21T10:41:59.971;200;19;web2
2026-09-21T10:42:00.266;200;18;web2
2026-09-21T10:42:00.696;200;145;web2
2026-09-21T10:42:01.008;200;17;web2
2026-09-21T10:42:01.322;200;18;web2
2026-09-21T10:42:01.602;200;6;web2
2026-09-21T10:42:01.872;200;4;web2
2026-09-21T10:42:02.189;200;19;web2
2026-09-21T10:42:02.482;200;15;web2
2026-09-21T10:42:02.755;200;8;web2
2026-09-21T10:42:03.039;200;11;web2
2026-09-21T10:42:03.314;200;4;web2
2026-09-21T10:42:03.606;200;14;web2
2026-09-21T10:42:03.915;200;15;web2
2026-09-21T10:42:04.223;200;15;web2
2026-09-21T10:42:04.539;200;21;web2
2026-09-21T10:42:04.833;200;18;web2
2026-09-21T10:42:05.137;200;14;web2
2026-09-21T10:42:05.451;200;21;web2
2026-09-21T10:42:05.738;200;11;web2
2026-09-21T10:42:06.046;200;16;web2
2026-09-21T10:42:06.362;200;18;web2
2026-09-21T10:42:06.670;200;18;web2
2026-09-21T10:42:06.987;200;18;web2
2026-09-21T10:42:07.283;200;21;web2
2026-09-21T10:42:07.582;200;15;web2
2026-09-21T10:42:07.887;200;17;web2
2026-09-21T10:42:08.179;200;18;web2
2026-09-21T10:42:08.486;200;15;web2
2026-09-21T10:42:08.789;200;15;web2
2026-09-21T10:42:09.090;200;17;web2
2026-09-21T10:42:09.383;200;18;web2
2026-09-21T10:42:09.674;200;13;web2
2026-09-21T10:42:09.986;200;17;web2
2026-09-21T10:42:10.275;200;12;web2
2026-09-21T10:42:10.565;200;15;web2
2026-09-21T10:42:10.877;200;24;web2
2026-09-21T10:42:11.189;200;20;web2
2026-09-21T10:42:11.497;200;19;web2
2026-09-21T10:42:11.784;200;9;web2
2026-09-21T10:42:12.090;200;16;web2
2026-09-21T10:42:12.376;200;8;web2
2026-09-21T10:42:12.667;200;14;web2
2026-09-21T10:42:12.952;200;7;web2
2026-09-21T10:42:13.233;200;15;web2
2026-09-21T10:42:13.537;200;17;web2
2026-09-21T10:42:13.839;200;18;web2
2026-09-21T10:42:14.150;200;19;web2
2026-09-21T10:42:14.454;200;17;web2
2026-09-21T10:42:14.742;200;8;web2
2026-09-21T10:42:15.027;200;13;web2
2026-09-21T10:42:15.319;200;17;web2
2026-09-21T10:42:15.629;200;20;web2
2026-09-21T10:42:15.942;200;20;web2
2026-09-21T10:42:16.244;200;19;web2
2026-09-21T10:42:16.533;200;17;web2
2026-09-21T10:42:16.836;200;16;web2
2026-09-21T10:42:17.127;200;19;web2
2026-09-21T10:42:17.417;200;15;web2
2026-09-21T10:42:17.730;200;19;web2
2026-09-21T10:42:18.022;200;15;web2
2026-09-21T10:42:18.312;200;11;web2
2026-09-21T10:42:18.598;200;10;web2
2026-09-21T10:42:18.897;200;17;web2
2026-09-21T10:42:19.195;200;16;web2
2026-09-21T10:42:19.483;200;13;web2
2026-09-21T10:42:19.790;200;19;web2
2026-09-21T10:42:20.082;200;14;web2
2026-09-21T10:42:20.388;200;17;web2
2026-09-21T10:42:20.698;200;20;web2
2026-09-21T10:42:21.010;200;19;web2
2026-09-21T10:42:21.318;200;18;web2
2026-09-21T10:42:21.607;200;10;web2
2026-09-21T10:42:21.906;200;18;web2
2026-09-21T10:42:22.209;200;17;web2
2026-09-21T10:42:22.511;200;19;web2
2026-09-21T10:42:22.827;200;21;web2
2026-09-21T10:42:23.127;200;17;web2
2026-09-21T10:42:23.430;200;21;web2
2026-09-21T10:42:23.739;200;15;web2
2026-09-21T10:42:24.050;200;21;web2
2026-09-21T10:42:24.345;200;15;web2
