horodatage;code_http;duree_ms;serveur
2026-09-21T10:43:15.424;200;21;web2
2026-09-21T10:43:15.698;200;8;web1
2026-09-21T10:43:16.003;200;17;web2
2026-09-21T10:43:16.294;200;14;web1
2026-09-21T10:43:16.587;200;16;web2
2026-09-21T10:43:16.903;200;24;web1
2026-09-21T10:43:17.206;200;18;web2
2026-09-21T10:43:17.515;200;16;web1
2026-09-21T10:43:17.789;200;9;web2
2026-09-21T10:43:18.106;200;23;web1
2026-09-21T10:43:18.392;200;13;web2
2026-09-21T10:43:18.680;200;17;web1
2026-09-21T10:43:18.997;200;22;web2
2026-09-21T10:43:19.290;200;17;web1
2026-09-21T10:43:19.541;200;8;web2
2026-09-21T10:43:19.833;200;18;web1
2026-09-21T10:43:20.136;200;17;web2
2026-09-21T10:43:20.451;200;19;web1
2026-09-21T10:43:20.705;200;9;web2
2026-09-21T10:43:21.008;200;18;web1
2026-09-21T10:43:21.323;200;14;web2
2026-09-21T10:43:21.636;200;17;web1
2026-09-21T10:43:21.933;200;16;web2
2026-09-21T10:43:22.244;200;21;web1
2026-09-21T10:43:22.559;200;21;web2
2026-09-21T10:43:22.878;200;18;web1
2026-09-21T10:43:23.138;200;7;web2
2026-09-21T10:43:23.442;200;20;web1
2026-09-21T10:43:23.743;200;14;web2
2026-09-21T10:43:24.047;200;17;web1
2026-09-21T10:43:24.355;200;18;web2
2026-09-21T10:43:24.635;200;8;web1
2026-09-21T10:43:24.944;200;20;web2
2026-09-21T10:43:25.254;200;18;web1
2026-09-21T10:43:25.578;200;20;web2
2026-09-21T10:43:25.887;200;19;web1
2026-09-21T10:43:26.194;200;19;web2
2026-09-21T10:43:26.483;200;9;web1
2026-09-21T10:43:26.791;200;17;web2
2026-09-21T10:43:27.097;200;18;web1
2026-09-21T10:43:27.411;200;16;web2
2026-09-21T10:43:27.702;200;15;web1
2026-09-21T10:43:27.981;200;8;web2
2026-09-21T10:43:28.282;200;21;web1
2026-09-21T10:43:28.578;200;16;web2
2026-09-21T10:43:28.900;200;21;web1
2026-09-21T10:43:29.206;200;14;web2
2026-09-21T10:43:29.506;200;20;web1
2026-09-21T10:43:29.793;200;9;web2
2026-09-21T10:43:30.094;200;18;web1
2026-09-21T10:43:30.389;200;13;web2
2026-09-21T10:43:30.665;200;7;web1
2026-09-21T10:43:30.981;200;17;web2
2026-09-21T10:43:31.292;200;18;web1
2026-09-21T10:43:31.533;200;7;web2
2026-09-21T10:43:31.792;200;6;web1
2026-09-21T10:43:32.087;200;15;web2
2026-09-21T10:43:32.365;200;12;web1
2026-09-21T10:43:32.671;200;17;web2
2026-09-21T10:43:32.966;200;15;web2
2026-09-21T10:43:33.266;200;16;web2
2026-09-21T10:43:33.555;200;10;web2
2026-09-21T10:43:33.870;200;20;web2
2026-09-21T10:43:34.164;200;10;web2
2026-09-21T10:43:34.451;200;9;web2
2026-09-21T10:43:34.731;200;9;web2
2026-09-21T10:43:35.043;200;17;web2
2026-09-21T10:43:35.346;200;14;web2
2026-09-21T10:43:35.658;200;12;web2
2026-09-21T10:43:35.971;200;22;web2
2026-09-21T10:43:36.274;200;18;web2
2026-09-21T10:43:36.550;200;8;web2
2026-09-21T10:43:36.852;200;18;web2
2026-09-21T10:43:37.163;200;21;web2
2026-09-21T10:43:37.450;200;13;web2
2026-09-21T10:43:37.731;200;7;web2
2026-09-21T10:43:38.015;200;10;web2
2026-09-21T10:43:38.306;200;7;web2
2026-09-21T10:43:38.590;200;11;web2
2026-09-21T10:43:38.838;200;8;web2
2026-09-21T10:43:39.135;200;20;web2
2026-09-21T10:43:39.426;200;11;web2
2026-09-21T10:43:39.719;200;7;web2
2026-09-21T10:43:40.011;200;13;web2
2026-09-21T10:43:40.324;200;20;web2
2026-09-21T10:43:40.635;200;18;web2
2026-09-21T10:43:40.947;200;19;web2
2026-09-21T10:43:41.257;200;22;web2
2026-09-21T10:43:41.535;200;6;web2
2026-09-21T10:43:41.765;200;4;web2
2026-09-21T10:43:42.043;200;8;web2
2026-09-21T10:43:42.350;200;17;web2
2026-09-21T10:43:42.653;200;18;web2
2026-09-21T10:43:42.965;200;18;web2
2026-09-21T10:43:43.269;200;21;web2
2026-09-21T10:43:43.572;200;17;web2
2026-09-21T10:43:43.883;200;19;web2
2026-09-21T10:43:44.181;200;16;web2
2026-09-21T10:43:44.493;200;19;web2
2026-09-21T10:43:44.797;200;18;web2
2026-09-21T10:43:45.102;200;19;web2
2026-09-21T10:43:45.371;200;8;web2
2026-09-21T10:43:45.675;200;17;web2
2026-09-21T10:43:45.962;200;11;web2
2026-09-21T10:43:46.400;200;142;web2
2026-09-21T10:43:46.697;200;16;web2
2026-09-21T10:43:47.013;200;17;web2
2026-09-21T10:43:47.300;200;10;web2
2026-09-21T10:43:47.607;200;18;web2
2026-09-21T10:43:47.917;200;19;web2
2026-09-21T10:43:48.221;200;17;web2
2026-09-21T10:43:48.504;200;7;web2
2026-09-21T10:43:48.786;200;7;web2
2026-09-21T10:43:49.051;200;8;web2
2026-09-21T10:43:49.304;200;6;web2
2026-09-21T10:43:49.606;200;19;web2
2026-09-21T10:43:49.919;200;21;web2
2026-09-21T10:43:50.171;200;4;web2
2026-09-21T10:43:50.451;200;12;web2
2026-09-21T10:43:50.734;200;7;web2
2026-09-21T10:43:51.026;200;12;web2
2026-09-21T10:43:51.312;200;17;web2
2026-09-21T10:43:51.583;200;8;web2
2026-09-21T10:43:51.830;200;3;web2
2026-09-21T10:43:52.132;200;19;web2
2026-09-21T10:43:52.441;200;20;web2
2026-09-21T10:43:52.755;200;21;web2
2026-09-21T10:43:53.080;200;30;web2
2026-09-21T10:43:53.376;200;17;web2
2026-09-21T10:43:53.669;200;15;web2
2026-09-21T10:43:53.965;200;17;web2
2026-09-21T10:43:54.282;200;25;web2
2026-09-21T10:43:54.570;200;8;web2
2026-09-21T10:43:54.875;200;19;web2
2026-09-21T10:43:55.176;200;13;web2
2026-09-21T10:43:55.475;200;16;web2
2026-09-21T10:43:55.785;200;17;web1
2026-09-21T10:43:56.094;200;21;web2
2026-09-21T10:43:56.392;200;20;web1
2026-09-21T10:43:56.685;200;12;web2
2026-09-21T10:43:56.991;200;17;web1
2026-09-21T10:43:57.288;200;16;web2
2026-09-21T10:43:57.546;200;8;web1
2026-09-21T10:43:57.835;200;5;web2
2026-09-21T10:43:58.116;200;6;web1
2026-09-21T10:43:58.397;200;10;web2
2026-09-21T10:43:58.700;200;16;web1
2026-09-21T10:43:59.003;200;19;web2
2026-09-21T10:43:59.302;200;17;web1
2026-09-21T10:43:59.592;200;21;web2
2026-09-21T10:43:59.889;200;17;web1
2026-09-21T10:44:00.182;200;15;web2
2026-09-21T10:44:00.479;200;14;web1
2026-09-21T10:44:00.761;200;11;web2
2026-09-21T10:44:01.068;200;18;web1
2026-09-21T10:44:01.357;200;16;web2
2026-09-21T10:44:01.651;200;17;web1
2026-09-21T10:44:01.948;200;23;web2
2026-09-21T10:44:02.243;200;13;web1
2026-09-21T10:44:02.507;200;4;web2
2026-09-21T10:44:02.802;200;17;web1
2026-09-21T10:44:03.102;200;17;web2
2026-09-21T10:44:03.395;200;17;web1
